higher-education-establishment,name,address,website
10007846,"SWANSEA METROPOLITAN UNIVERSITY","SA1 6ED",www.smu.ac.uk
10007825,"GUILDHALL SCHOOL OF MUSIC & DRAMA","EC2Y 8DT",www.gsmd.ac.uk
10007785,"UNIVERSITY OF BRADFORD","BD7 1DP",www.bradford.ac.uk
10004078,"LONDON SOUTH BANK UNIVERSITY","SE1 0AA",www.lsbu.ac.uk
10014001,"UNIVERSITY CAMPUS SUFFOLK LTD","IP4 1QJ",www.ucs.ac.uk
10007800,"UNIVERSITY OF THE WEST OF SCOTLAND","PA1 2BE",www.uws.ac.uk
10003957,"LIVERPOOL JOHN MOORES UNIVERSITY","L3 5UX",www.ljmu.ac.uk
10007850,"UNIVERSITY OF BATH (THE)","BA2 7AY",www.bath.ac.uk
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE","BH12 5HH",www.aub.ac.uk
10006566,"UNIVERSITY OF WEST LONDON","W5 5RF",www.uwl.ac.uk
10004930,"OXFORD BROOKES UNIVERSITY","OX3 0BP",www.brookes.ac.uk
10007780,"SCHOOL OF ORIENTAL AND AFRICAN STUDIES","WC1H 0XG",www.soas.ac.uk
10007837,"ROYAL NORTHERN COLLEGE OF MUSIC","M13 9RD",www.rncm.ac.uk
10007141,"UNIVERSITY OF CENTRAL LANCASHIRE","PR1 2HE",www.uclan.ac.uk
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","SW7 2AZ",www.imperial.ac.uk
10008574,"UNIVERSITY OF WALES PRIFYSGOL CYMRU","CF10 3NS",www.wales.ac.uk
10007139,"UNIVERSITY OF WORCESTER, THE","WR2 6AJ",www.worc.ac.uk
